Пункт	Температура воздуха наиболее холодных суток, °С, обеспеченностью 0,98	Температура воздуха наиболее холодных суток, °С, обеспеченностью  0,92	Темпедневки, °С, обеспеченностью 0,98	Темпедневки, °С, обеспеченностью 0,92	Температура воздуха, °С, обеспеченностью 0,94	Абсолютная минимальная температура воздуха, °С	Средняя суточная амплитуда температуры воздуха наиболее холодного месяца, °С	Продолжительность периода со средней суточной температурой воздуха 0 °С, сут	Средняя температура воздуха периода со средней суточной температурой воздуха 0 °С, °С	Продолжительность периода со средней суточной температурой воздуха 8 °С, сут	Средняя температура воздуха периода со средней суточной температурой воздуха 8 °С, °С	Продолжительность периода со средней суточной температурой воздуха 10 °С, сут	Средняя температура воздуха периода со средней суточной температурой воздуха 10 °С, °С	Средняя месячная относительная влажность воздуха наиболее холодного месяца, %	Средняя месячная относительная влажность воздуха в 15 ч наиболее холодного месяца, %	Количество осадков за ноябрь-март,  мм	Преобла- ладаю- щее направление ветра за декабрь-февраль	Максимальная из средних скоростей ветра по румбам за январь, м/с	Средняя скорость ветра, м/с, за период со средней суточной температурой воздуха 8 °С	Республика, край, область	Lat	Lon
1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23
Майкоп	-27	-22	-21	-19	-6	-34	9.0	40	-1	148	2.3	169	3.1	79	72	276	Ю	5.7	3	Республика Адыгея	44.609796	40.100561
Алейск	-44	-42	-41	-38	-23	-46	9.5	164	-11.5	216	-7.8	230	-6.7	80	78	130	ЮЗ	6.8	-	Республика Алтай	NA	NA
Барнаул	-44	-40	-39	-36	-21	-52	9.3	163	-11.1	213	-7.5	230	-6.3	78	75	117	ЮЗ	4	3.4	Республика Алтай	53.348053	83.779875
Беля	-27	-26	-25	-23	-14	-35	5.9	149	-6	223	-2.7	242	-1.7	59	55	121	ЮВ	7	4.5	Республика Алтай	52.189411	87.670002
Бийск-Зональная	-45	-42	-41	-35	-21	-52	11.3	163	-11.3	213	-7.6	229	-6.5	78	75	182	ЮЗ	5	1.9	Республика Алтай	NA	NA
Змеиногорск	-43	-41	-40	-36	-18	-49	11.3	159	-10.2	211	-6.7	227	-5.5	74	69	258	Ю	5.3	2.5	Республика Алтай	51.158122	82.187216
Катанда	-43	-42	-42	-40	-28	-48	12.3	175	-14	237	-9.2	258	-7.8	81	79	81	С	1.8	1.7	Республика Алтай	50.164731	86.177532
Кош-Агач	-46	-44	-44	-42	-34	-55	11.5	191	-17.6	256	-12.0	274	-10.7	81	80	15	В	1.5	1.7	Республика Алтай	49.993685	88.665901
Онгудай	-42	-41	-40	-38	-26	-46	11.1	168	-13	231	-8.3	249	-7.3	79	71	46	З	2.3	9.1	Республика Алтай	50.749395	86.135159
